seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
3,2,2,4,0.5,0,0,0.95152508361204,0.9519193808952549,0.95112700984147,0.9512049331073592,586.4921875,10.934988737106323,6.0,2.0066889632107023,0.0769230769230769,3.8333333333333335
2,10,2,1,1.0,2,0,0.9606868686868688,0.9608565185290584,0.9600843055303532,0.9600818646208154,134.9921875,3.504396677017212,0.0,0.0,0.0,0.0
2,2,2,3,1.0,1,0,0.7960808080808082,0.7975804156722287,0.7969761388815171,0.7969632899688508,518.8671875,4.050615072250366,4.0,4.040404040404041,0.4646464646464646,11.5
3,5,2,4,1.0,3,0,0.9409898989898988,0.9415571151337117,0.9415583529816444,0.9415577099515058,241.15625,3.650835037231445,2.0,2.0202020202020203,0.0505050505050505,2.5
2,5,2,4,1.0,0,0,0.9682626262626262,0.9686241180209352,0.9684712938072833,0.9684178030605436,168.5,4.878775835037232,2.0,2.0202020202020203,0.0202020202020202,1.0
4,2,2,2,1.0,1,0,0.9213333333333336,0.9226447805620346,0.922041082389246,0.9218977882864628,269.4453125,3.501889944076538,2.0,2.0202020202020203,0.1919191919191919,9.5
4,2,2,3,0.5,0,0,0.9434515050167224,0.94366757275979,0.9435683769075712,0.9435929712863872,237.9375,13.528496742248535,3.0,1.0033444816053512,0.1137123745819397,11.333333333333334
2,10,2,2,0.5,0,0,0.9651515151515152,0.9667076880331053,0.9654604347173386,0.96545555973424,98.734375,3.4742848873138428,0.0,0.0,0.0,0.0
4,10,2,2,1.0,1,0,0.8643030303030305,0.8671299694966468,0.8656609201264605,0.8655058815041907,513.171875,4.816669702529907,4.0,4.040404040404041,0.303030303030303,7.5
3,10,2,1,0.5,1,0,0.878020202020202,0.8793684542333451,0.8792249925116165,0.8792070013020707,629.3203125,4.386769771575928,3.0,3.0303030303030303,0.2323232323232323,7.666666666666667
4,5,2,1,1.0,3,0,0.9651919191919192,0.9672962120532596,0.965383299440239,0.9654785998938372,53.2109375,4.093229293823242,1.0,1.0101010101010102,0.0101010101010101,1.0
2,10,2,3,1.0,0,0,0.9957373737373738,0.9957607189789328,0.9957595576619364,0.9957599088871,98.734375,3.4304091930389404,0.0,0.0,0.0,0.0
3,2,2,1,1.0,3,0,0.9653939393939394,0.9661807605838238,0.9656575977329966,0.9657258230531666,26.0,2.650864839553833,0.0,0.0,0.0,0.0
3,10,2,4,1.0,2,0,0.99410101010101,0.9941432430180914,0.9941409896335348,0.9941398794127148,192.484375,3.742558717727661,0.0,0.0,0.0,0.0
3,5,2,3,1.0,3,0,0.903030303030303,0.9041840754993368,0.9039059748258214,0.903934759698218,531.6875,3.911662817001343,6.0,6.0606060606060606,0.3131313131313131,5.166666666666667
2,2,2,2,0.5,2,0,0.9315555555555556,0.9331192409746932,0.9322680209663324,0.932054677087036,270.03125,3.261906862258911,0.0,0.0,0.0,0.0
3,5,2,3,1.0,0,0,0.9863745819397994,0.9863572460842532,0.986364544026072,0.986359744507218,303.2890625,10.361346960067747,1.0,0.334448160535117,0.0066889632107023,2.0
3,10,2,4,0.5,0,0,0.9892508361204012,0.989247253070545,0.9892385962745458,0.9892398602951534,322.5546875,11.712399005889893,3.0,1.0033444816053512,0.0100334448160535,1.0
2,5,2,2,1.0,2,0,0.996020202020202,0.9959262844136724,0.9959152940210688,0.9959197931652826,71.3203125,4.285922527313232,0.0,0.0,0.0,0.0
4,2,2,4,1.0,2,0,0.9606868686868688,0.9627588961421611,0.960829448542393,0.9609506692746984,158.703125,3.1006195545196533,0.0,0.0,0.0,0.0
3,5,2,1,0.5,3,0,0.9651919191919192,0.9672962120532596,0.965383299440239,0.9654785998938372,53.2109375,2.8074896335601807,1.0,1.0101010101010102,0.0101010101010101,1.0
4,2,2,1,1.0,2,0,0.960161616161616,0.9607626419079676,0.9603916856091332,0.9604473436087748,65.6484375,2.7794559001922607,0.0,0.0,0.0,0.0
3,2,2,1,0.5,3,0,0.9653939393939394,0.9661807605838238,0.9656575977329966,0.9657258230531666,26.0,2.485571384429932,0.0,0.0,0.0,0.0
4,5,2,3,0.5,2,0,0.9570101010101008,0.9579122688314858,0.9572987991394948,0.9573971559833636,101.7421875,3.141995906829834,1.0,1.0101010101010102,0.0101010101010101,1.0
2,2,2,4,1.0,2,0,0.947010101010101,0.9474690185283072,0.94708882128982,0.947142382753546,148.3203125,3.73101019859314,0.0,0.0,0.0,0.0
3,2,2,2,0.5,3,0,0.9608484848484848,0.9614559891768134,0.9611830133721662,0.9612301012575738,36.7265625,2.6907432079315186,0.0,0.0,0.0,0.0
4,2,2,4,0.5,3,0,0.9594141414141414,0.9599824417794788,0.9598628744758256,0.9597978897651098,169.5390625,3.1693689823150635,0.0,0.0,0.0,0.0
4,2,2,1,0.5,1,0,0.8807474747474746,0.8822766723375411,0.8818538828352251,0.8818917071515797,159.046875,3.115683555603028,2.0,2.0202020202020203,0.2222222222222222,11.0
3,10,2,1,1.0,2,0,0.9605454545454546,0.9625723452485624,0.9608569360583576,0.9608420210130242,228.8046875,3.6931381225585938,0.0,0.0,0.0,0.0
4,10,2,2,1.0,0,0,0.9980869565217392,0.9980918176409572,0.998085573032378,0.9980866447621748,145.640625,12.908019542694092,1.0,0.334448160535117,0.0033444816053511,1.0
2,10,2,2,1.0,0,0,0.96010101010101,0.9621982550104418,0.9604366166155812,0.9604205805954724,275.4765625,3.956999063491821,0.0,0.0,0.0,0.0
2,2,2,1,0.5,0,0,0.9925656565656568,0.9925966244511448,0.9926061744245416,0.9925798435710698,130.0625,3.714332342147827,0.0,0.0,0.0,0.0
2,2,2,4,0.5,3,0,0.9565252525252528,0.95764746888161,0.9568542211797516,0.956934621099088,76.21875,3.1139185428619385,0.0,0.0,0.0,0.0
3,5,2,4,1.0,0,0,0.9881003344481606,0.988140478644156,0.9881483079031212,0.988133237322672,241.1015625,10.615561246871948,3.0,1.0033444816053512,0.0234113712374581,2.333333333333333
3,5,2,2,0.5,2,0,0.9966666666666668,0.9966754594327212,0.9966491946498202,0.9966597107746048,53.265625,3.230775594711304,0.0,0.0,0.0,0.0
2,2,2,3,0.5,3,0,0.955979797979798,0.9565432140241296,0.9563772394035336,0.9564119866367912,101.2734375,3.1101996898651123,1.0,1.0101010101010102,0.101010101010101,10.0
4,5,2,2,1.0,2,0,0.9603232323232324,0.9619476489253986,0.9605849878088132,0.9606649348415626,77.4921875,3.1594583988189697,1.0,1.0101010101010102,0.0101010101010101,1.0
2,2,2,1,1.0,3,0,0.9653939393939394,0.9661807605838238,0.9656575977329966,0.9657258230531666,26.0,3.237755537033081,0.0,0.0,0.0,0.0
2,10,2,2,1.0,1,0,0.8807878787878787,0.882522105005707,0.8819434547376479,0.8819112482093849,431.25,4.907220363616943,1.0,1.0101010101010102,0.2626262626262626,26.0
4,5,2,1,0.5,0,0,0.9845217391304346,0.9846614985978484,0.9845389532130298,0.9845648468685028,174.671875,10.83725357055664,2.0,0.6688963210702341,0.0066889632107023,1.0
3,5,2,1,1.0,2,0,0.9613535353535354,0.963908176985328,0.9615671633396504,0.961664282551294,119.96875,3.470679759979248,1.0,1.0101010101010102,0.0101010101010101,1.0
2,10,2,1,0.5,0,0,0.9607676767676768,0.962804214657348,0.961117133808648,0.9611028947957998,145.640625,3.7014896869659424,0.0,0.0,0.0,0.0
3,5,2,1,0.5,0,0,0.9791973244147156,0.9792929788383722,0.9792447087697038,0.9792586041196412,103.359375,10.17323899269104,2.0,0.6688963210702341,0.020066889632107,3.0
4,2,2,2,1.0,0,0,0.9800133779264214,0.9802806105841386,0.9800280231123756,0.9800755772799894,105.0234375,9.36179494857788,2.0,0.6688963210702341,0.0301003344481605,4.5
3,5,2,3,0.5,2,0,0.9782626262626264,0.9788488290475404,0.9783584370027484,0.978450530327148,101.7109375,3.232597589492798,0.0,0.0,0.0,0.0
2,5,2,2,1.0,1,0,0.8794747474747474,0.8809597967427567,0.880594404283557,0.8806192753164178,286.6328125,4.460067510604858,5.0,5.05050505050505,0.2525252525252525,5.0
4,10,2,3,0.5,2,0,0.99420202020202,0.9942402068212148,0.994242609331952,0.9942398792654548,192.515625,3.9218599796295166,0.0,0.0,0.0,0.0
2,5,2,1,1.0,3,0,0.9651717171717172,0.9672738132823744,0.9653633894334696,0.9654586233699746,53.265625,3.130876302719116,1.0,1.0101010101010102,0.0101010101010101,1.0
4,10,2,2,0.5,0,0,0.9964682274247492,0.9964940052591448,0.9964710126331412,0.9964732588952449,192.546875,13.474437475204468,1.0,0.334448160535117,0.0033444816053511,1.0
3,2,2,1,0.5,2,0,0.9604444444444444,0.9615065671250812,0.9606288331998672,0.9607149739479012,58.328125,2.9494404792785645,0.0,0.0,0.0,0.0
2,5,2,1,1.0,2,0,0.960949494949495,0.9635941076950172,0.9611640597070557,0.96126168483925,77.546875,3.3738787174224854,1.0,1.0101010101010102,0.0101010101010101,1.0
2,10,2,3,1.0,3,0,0.997979797979798,0.997981054354588,0.9979795292755694,0.9979799560793264,98.734375,3.6974453926086426,0.0,0.0,0.0,0.0
4,5,2,2,1.0,3,0,0.997959595959596,0.9979590961843888,0.9979608252031684,0.9979599207715306,53.2109375,3.138861179351806,0.0,0.0,0.0,0.0
3,2,2,4,1.0,2,0,0.9452323232323232,0.9460779920603684,0.9454229693328776,0.9454919971526564,248.96875,3.192525625228882,0.0,0.0,0.0,0.0
2,5,2,2,0.5,0,0,0.997959595959596,0.9979590961843888,0.9979608252031684,0.9979599207715306,53.2109375,3.100217819213867,0.0,0.0,0.0,0.0
4,10,2,3,0.5,1,0,0.8384444444444445,0.8517582369350507,0.8370011396526098,0.8353372190591799,691.1328125,4.355880737304688,4.0,4.040404040404041,0.4141414141414141,10.25
3,5,2,4,0.5,0,0,0.9882943143812708,0.9883332940633118,0.988341373324558,0.9883265705065392,216.8203125,9.908676385879517,1.0,0.334448160535117,0.0100334448160535,3.0
3,5,2,3,1.0,1,0,0.8574545454545455,0.8595457244043934,0.8588639567750569,0.858702781394737,733.2734375,4.6692328453063965,6.0,6.0606060606060606,0.2626262626262626,4.333333333333333
4,10,2,4,1.0,2,0,0.9781414141414144,0.978390779763813,0.9783242019070796,0.97831890093709,228.7109375,3.794648170471192,0.0,0.0,0.0,0.0
4,10,2,3,0.5,0,0,0.99933110367893,0.9993268817058903,0.9993265161491468,0.9993266615743088,98.734375,10.190402269363403,0.0,0.0,0.0,0.0
4,5,2,2,0.5,0,0,0.9609230769230768,0.9611987238812169,0.960993500266046,0.961026419202522,265.375,10.78726291656494,7.0,2.341137123745819,0.1170568561872909,5.0
3,10,2,4,1.0,1,0,0.7961616161616162,0.7981022697571716,0.7973778690399316,0.7972690331760954,1392.4296875,5.931735992431641,5.0,5.05050505050505,0.6565656565656566,13.0
3,5,2,1,1.0,3,0,0.9651919191919192,0.9672962120532596,0.965383299440239,0.9654785998938372,53.2109375,2.890500545501709,1.0,1.0101010101010102,0.0101010101010101,1.0
4,2,2,1,1.0,0,0,0.8431505016722408,0.8438602864856692,0.8433723373701176,0.8432111740003221,1453.578125,17.199307203292847,23.0,7.6923076923076925,0.2508361204013378,3.260869565217391
4,5,2,4,1.0,0,0,0.9339665551839464,0.9346528990735432,0.9340497898646816,0.9340970530972128,471.3203125,11.24505853652954,7.0,2.341137123745819,0.2341137123745819,10.0
4,5,2,3,1.0,1,0,0.8881818181818181,0.9002109321938266,0.888904108744716,0.8884461635528215,568.109375,4.284321069717407,3.0,3.0303030303030303,0.4848484848484848,16.0
2,5,2,4,1.0,3,0,0.945838383838384,0.9467453507849674,0.946295347296554,0.9463409565826768,125.9609375,3.511735439300537,2.0,2.0202020202020203,0.0303030303030303,1.5
3,10,2,3,1.0,1,0,0.9253333333333332,0.926311718404986,0.9260676126487036,0.9260485698679368,629.4765625,4.311985492706299,4.0,4.040404040404041,0.2525252525252525,6.25
3,5,2,2,1.0,3,0,0.9977373737373736,0.9977399989941786,0.9977398174076209,0.9977399078017628,53.265625,3.2228546142578125,0.0,0.0,0.0,0.0
2,2,2,4,1.0,0,0,0.9418585858585858,0.9434349825845156,0.9422233565942302,0.942309858233502,215.8984375,3.4724714756011963,0.0,0.0,0.0,0.0
2,2,2,4,1.0,1,0,0.754040404040404,0.7573913903203666,0.7556697725995478,0.755425039329873,546.140625,3.683507442474365,6.0,6.0606060606060606,0.404040404040404,6.666666666666667
2,5,2,3,1.0,2,0,0.9842222222222222,0.9841541802144294,0.9840090227676808,0.9840376712412068,144.1640625,3.302767753601074,0.0,0.0,0.0,0.0
